UTCTIME,LOCAL_ANGLE,REMOTE_ANGLE,FREQ,PHASE,SYNC,LATENCY,FACE_DETECTED
1531302906157,-3.694992497205461,0,0.25778511033037477,2.9447050938036443,0.26,0,1
1531302906179,-3.682753397901072,0,0.25778511033037477,2.9504537017669645,0.26,0,1
1531302906201,-3.6955461295462935,0,0.25778511033037477,2.9560991956812552,0.26,0,1
1531302906222,-3.707315442659897,0,0.25778511033037477,2.961873582156833,0.26,0,1
1531302906244,-3.732176805677978,0,0.25778511033037477,2.9675706330956384,0.26,0,1
1531302906265,-3.726214941923915,0,0.25778511033037477,2.9731903484976714,0.26,0,1
1531302906288,-3.720730027270177,0,0.25778511033037477,2.9786811713534225,0.26,0,1
1531302906309,-3.678629486725403,0,0.25778511033037477,2.9840688801601436,0.26,0,1
1531302906332,-3.6442069596702233,0,0.25778511033037477,2.9896628170499193,0.26,0,1
1531302906354,-3.6125382347794583,0,0.25778511033037477,2.995488760550012,0.26,0,1
1531302906375,-3.626983877009701,0,0.25778511033037477,3.001237368498327,0.26,0,1
1531302906398,-3.6593105650178988,0,0.25778511033037477,3.0068570839153654,0.26,0,1
1531302906424,-3.6890511179854406,0,0.25778511033037477,3.012347906756111,0.26,0,1
1531302906446,-3.7008273070970255,0,0.25778511033037477,3.0178645081241195,0.26,0,1
1531302906468,-3.66992265010539,0,0.25778511033037477,3.0234584450138953,0.26,0,1
1531302906490,-3.6414903656730857,0,0.25778511033037477,3.0293101670262454,0.26,0,1
1531302906513,-3.6396037534843675,0,0.25778511033037477,3.034955660940536,0.26,0,1
1531302906538,-3.5938719017498713,0,0.25778511033037477,3.0406011548548264,0.26,0,1
1531302906562,-3.551798598154135,0,0.25778511033037477,3.046169313232345,0.26,0,1
1531302906584,-3.5082865490161486,0,0.25778511033037477,3.05186636417115,0.26,0,1
1531302906606,-3.435218660724464,0,0.25778511033037477,3.057743864695758,0.26,0,1
1531302906628,-3.151010437569741,0,0.25778511033037477,3.0643431635185587,0.26,0,1
1531302906649,-2.8895388722673965,0,0.25778511033037477,3.070091771466874,0.26,0,1
1531302906671,-2.6097563980617307,0,0.25778511033037477,3.075814600917937,0.26,0,1
1531302906694,-2.6621381707172485,0,0.25778511033037477,3.0814600948322277,0.26,0,1
1531302906716,-2.7103294015603248,0,0.25778511033037477,3.0874149308936074,0.26,0,1
1531302906738,-2.501391987634237,0,0.25778511033037477,3.093756444608839,0.26,0,1
1531302906760,-2.2693224677353774,0,0.25778511033037477,3.0998659517137535,0.26,0,1
1531302906781,-2.0558185094284265,0,0.25778511033037477,3.105537224140302,0.26,0,1
1531302906804,-1.848559522946412,0,0.25778511033037477,3.111182718054592,0.26,0,1
1531302906825,-1.9947397263202555,0,0.25778511033037477,3.1167766549593727,0.26,0,1
1531302906847,-2.1292255134241915,0,0.25778511033037477,3.122344813336891,0.26,0,1
1531302906869,-2.1833287797963226,0,0.25778511033037477,3.128119199812469,0.26,0,1
1531302906891,-2.18228649669202,0,0.25778511033037477,3.1338935862880466,0.26,0,1
1531302906912,-2.1813275962360614,0,0.25778511033037477,3.1394875231778223,0.26,0,1
1531302906935,-2.18044540781658,0,0.25778511033037477,3.1452619096534002,0.26,0,1
1531302906956,-2.1823495631429894,0,0.25778511033037477,3.150855846543176,0.26,0,1
1531302906979,-2.1841013860432863,0,0.25778511033037477,3.1563982264084367,0.26,0,1
1531302907001,-2.1884620908060963,0,0.10794007167203777,0,0.11,0,1
1531302907022,-2.245063714717732,0,0.10794007167203777,0.0023315055457636836,0.11,0,1
1531302907044,-2.297137208716437,0,0.10794007167203777,0.004695393120849981,0.11,0,1
1531302907071,-2.2392649285639683,0,0.10794007167203777,0.007091662706410075,0.11,0,1
1531302907096,-2.2562302947048023,0,0.10794007167203777,0.009401580243096914,0.11,0,1
1531302907120,-2.27183843155437,0,0.10794007167203777,0.011797849834939948,0.11,0,1
1531302907146,-2.291361934027206,0,0.10794007167203777,0.014237295451219607,0.11,0,1
1531302907170,-2.3751331632693873,0,0.10794007167203777,0.016547212987906446,0.11,0,1
1531302907197,-2.5213125946997565,0,0.10794007167203777,0.018943482579749482,0.11,0,1
1531302907220,-2.655797671615696,0,0.10794007167203777,0.02132895816391262,0.11,0,1
1531302907242,-2.79930333540719,0,0.10794007167203777,0.023660463709676307,0.11,0,1
1531302907265,-2.6302945621894165,0,0.10794007167203777,0.02601355727079977,0.11,0,1
1531302907288,-2.7235946573114327,0,0.10794007167203777,0.028884763181709218,0.11,0,1
1531302907310,-2.8094307448236875,0,0.10794007167203777,0.03152929493762388,0.11,0,1
1531302907332,-2.641877537076447,0,0.10794007167203777,0.03417382669353854,0.11,0,1
1531302907354,-2.743943310066259,0,0.10794007167203777,0.03689391649692951,0.11,0,1
1531302907376,-2.8378438212168864,0,0.10794007167203777,0.03952765424516428,0.11,0,1
1531302907404,-2.9242322914754637,0,0.10794007167203777,0.04256077025870622,0.11,0,1
1531302907426,-2.695679739919822,0,0.10794007167203777,0.04493545183518947,0.11,0,1
1531302907448,-2.8140860576977658,0,0.10794007167203777,0.04729933940399283,0.11,0,1
1531302907470,-2.923019870053474,0,0.10794007167203777,0.04972799101887554,0.11,0,1
1531302907491,-2.7350194665253023,0,0.10794007167203777,0.05234014075175052,0.11,0,1
1531302907513,-2.7923908253835794,0,0.10794007167203777,0.05471482232823378,0.11,0,1
1531302907536,-2.8451724755331944,0,0.10794007167203777,0.05706791589564018,0.11,0,1
1531302907558,-2.8755944256402026,0,0.10794007167203777,0.059399421441403866,0.11,0,1
1531302907580,-2.9455627931409882,0,0.10794007167203777,0.0617956910332469,0.11,0,1
1531302907601,-3.0099336912417107,0,0.10794007167203777,0.06479642502374916,0.11,0,1
1531302907623,-3.082859070081601,0,0.10794007167203777,0.06721428263095199,0.11,0,1
1531302907645,-3.1499504186143,0,0.10794007167203777,0.06954578817671567,0.11,0,1
1531302907668,-3.203581762942145,0,0.10794007167203777,0.07190967574551903,0.11,0,1
1531302907690,-3.2528233293781827,0,0.10794007167203777,0.07425197530524554,0.11,0,1
